 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    2069113,     24.0,     24.0,     24.0,     74.0,  9, 10, 11, 10,    2063317,    2063317,    2063317,    2063317
 0,    1272375,     47.0,     47.0,     47.0,    152.0,  1,  2,  3,  1,     455226,     455226,     455226,    1272375
 0,    2575617,     63.0,     64.0,     63.0,    194.0,  9, 10, 11, 11,    2812510,    2812510,    2812510,    2812510
 0,    3564191,     50.0,     50.0,     50.0,    152.0,  9, 10, 11, 10,    2812544,    2812544,    2812544,    2812544
 0,    3564181,     51.0,     51.0,     50.0,    155.0,  9, 10, 11,  9,    2812540,    2812540,    2812540,    2812540
 0,    3564201,     49.0,     49.0,     49.0,    151.0,  9, 10, 11,  9,    2812550,    2812550,    2812550,    2812550
 0,    3564147,     51.0,     51.0,     51.0,    156.0,  9, 10, 11,  9,    2812526,    2812526,    2812526,    2812526
 0,    1272418,     47.0,     47.0,     48.0,    148.0,  9, 10, 11,  9,    2812568,    2812568,    2812568,    2812568
 0,    1272465,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    1423585,    1423585,    1423585,    1423585
 0,    2069187,     17.0,     17.0,     17.0,     53.0,  9, 10, 11,  9,    2063333,    2063333,    2063333,    2063333
 0,    2069192,     62.0,     61.0,     62.0,    191.0,  9, 10, 11, 10,    2063307,    2063307,    2063307,    2063307
 0,    2581372,     56.0,     55.0,     56.0,    173.0,  9, 10, 11, 10,    2812531,    2812531,    2812531,    2812531
 0,    2581373,     56.0,     55.0,     56.0,    173.0,  9, 10, 11, 10,    2812531,    2812531,    2812531,    2812531
 0,    2581388,     56.0,     54.0,     56.0,    172.0,  9, 10, 11, 10,    2812531,    2812531,    2812531,    2812531
 0,    2537276,     51.0,     51.0,     51.0,    155.0,  9, 10, 11,  9,    2381240,    2381240,    2381240,    2381240
 0,    1272340,     64.0,     64.0,     63.0,    192.0,  9, 10, 11, 11,    2420232,    2420232,    2420232,    2420232
 0,    2538869,     18.0,     18.0,     18.0,     55.0,  9, 10, 11,  9,    2382093,    2382093,    2382093,    2382093
 0,    2714101,     51.0,     51.0,     51.0,    154.0,  9, 10, 11,  9,    2466092,    2466092,    2466092,    2466092
 1,    2069113,     24.0,     24.0,     24.0,     74.0,  9, 10, 11,  9,    2063317,    2063317,    2063317,    2063317
 1,    1272375,     47.0,     47.0,     47.0,    152.0,  1,  2,  3,  1,     455226,     455226,     455226,    1272375
 1,    2575617,     63.0,     63.0,     63.0,    195.0,  9, 10, 11,  9,    2812510,    2812510,    2812510,    2812510
 1,    3564191,     50.0,     49.0,     50.0,    152.0,  9, 10, 11, 10,    2812544,    2812544,    2812544,    2812544
 1,    3564181,     51.0,     50.0,     51.0,    154.0,  9, 10, 11, 10,    2812540,    2812540,    2812540,    2812540
 1,    3564201,     49.0,     48.0,     49.0,    147.0,  9, 10, 11, 10,    2812550,    2812550,    2812550,    2812550
