 F,      BusId,       PA,       PB,       PC,       P3, XA, XB, XC, X3,       id_A,       id_B,       id_C,       id_3
 0,    2818164,     71.0,     71.0,     70.0,    213.0,  9, 10, 11, 11,      82003,      82003,      82003,      82003
 0,      45257,     39.0,     38.0,     38.0,    118.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 0,    3814155,     39.0,     38.0,     39.0,    118.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 0,    3814154,     40.0,     38.0,     39.0,    118.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 0,    1351946,     21.0,     21.0,     21.0,     67.0,  9, 10, 11,  9,    1469332,    1469332,    1469332,    1469332
 0,    1351946,     21.0,     21.0,     21.0,     67.0,  9, 10, 11,  9,    1469332,    1469332,    1469332,    1469332
 0,    2235300,     46.0,     48.0,     47.0,    140.0,  9, 10, 11,  9,      82081,      82081,      82081,      82081
 0,    2524886,     39.0,     37.0,     38.0,    117.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 0,    2524881,     39.0,     37.0,     38.0,    117.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 0,    2524876,     38.0,     37.0,     38.0,    117.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 0,    2528023,     44.0,     46.0,     46.0,    140.0,  9, 10, 11,  9,      77831,      77831,      77831,      77831
 0,    2528057,     45.0,     47.0,     47.0,    141.0,  9, 10, 11,  9,      77831,      77831,      77831,      77831
 0,    2528062,     45.0,     47.0,     47.0,    141.0,  9, 10, 11,  9,      77831,      77831,      77831,      77831
 0,    2528148,     46.0,     47.0,     47.0,    141.0,  9, 10, 11,  9,      77831,      77831,      77831,      77831
 0,      45291,     46.0,     49.0,     48.0,    141.0,  9, 10, 11,  9,      82081,      82081,      82081,      82081
 0,    2818169,     70.0,     70.0,     69.0,    212.0,  9, 10, 11, 11,      82003,      82003,      82003,      82003
 0,    2537255,     42.0,     42.0,     42.0,    134.0,  9, 10, 11,  9,      82070,      82070,      82070,      82070
 0,    2537268,     43.0,     43.0,     43.0,    135.0,  9, 10, 11, 10,      82070,      82070,      82070,      82070
 0,    2818025,     59.0,     60.0,     60.0,    185.0,  9, 10, 11,  9,    2402037,    2402037,    2402037,    2402037
 0,    2577411,     72.0,     72.0,     71.0,    215.0,  9, 10, 11, 11,      82003,      82003,      82003,      82003
 1,    2818164,     72.0,     72.0,     71.0,    217.0,  9, 10, 11, 11,      82003,      82003,      82003,      82003
 1,      45257,     41.0,     40.0,     41.0,    126.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 1,    3814155,     41.0,     41.0,     41.0,    126.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 1,    3814154,     41.0,     41.0,     42.0,    126.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 1,    1351946,     21.0,     21.0,     21.0,     66.0,  9, 10, 11,  9,    1469332,    1469332,    1469332,    1469332
 1,    1351946,     21.0,     21.0,     21.0,     66.0,  9, 10, 11,  9,    1469332,    1469332,    1469332,    1469332
 1,    2235300,     47.0,     48.0,     47.0,    144.0,  9, 10, 11,  9,      82081,      82081,      82081,      82081
 1,    2524886,     41.0,     40.0,     41.0,    125.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 1,    2524881,     40.0,     40.0,     41.0,    125.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 1,    2524876,     40.0,     40.0,     41.0,    125.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
 1,    2528023,     44.0,     46.0,     46.0,    139.0,  9, 10, 11,  9,      77831,      77831,      77831,      77831
 1,    2528057,     45.0,     47.0,     46.0,    140.0,  9, 10, 11,  9,      77831,      77831,      77831,      77831
 1,    2528062,     45.0,     47.0,     47.0,    140.0,  9, 10, 11,  9,      77831,      77831,      77831,      77831
 1,    2528148,     45.0,     47.0,     47.0,    141.0,  9, 10, 11,  9,      77831,      77831,      77831,      77831
 1,      45291,     48.0,     49.0,     48.0,    145.0,  9, 10, 11,  9,      82081,      82081,      82081,      82081
 1,    2818169,     71.0,     71.0,     70.0,    216.0,  9, 10, 11, 11,      82003,      82003,      82003,      82003
 1,    2537255,     42.0,     42.0,     42.0,    134.0,  9, 10, 11,  9,      82070,      82070,      82070,      82070
 1,    2537268,     43.0,     43.0,     43.0,    136.0,  9, 10, 11,  9,      82070,      82070,      82070,      82070
 1,    2818025,     60.0,     60.0,     60.0,    187.0,  9, 10, 11,  9,    2402037,    2402037,    2402037,    2402037
 1,    2577411,     73.0,     73.0,     72.0,    218.0,  9, 10, 11, 11,      82003,      82003,      82003,      82003
 2,    2818164,     72.0,     72.0,     71.0,    217.0,  9, 10, 11, 11,      82003,      82003,      82003,      82003
 2,      45257,     42.0,     41.0,     42.0,    129.0,  9, 10, 11, 10,      82009,      82009,      82009,      82009
